tD,tR_over_tD,time,samples,odd_mean,odd_stderr,even_mean,even_stderr,max_bond_dimension,mean_cumulative_jumps
0.99,1.0101010101,0.3,64,0.03007176086682463,0.0009063075811016921,0.04937551800254159,0.0003291288898069904,100,0.15625
0.99,1.0101010101,0.35,64,0.03003339067440207,0.0009027070787750078,0.04938613742647977,0.0003371932322432182,100,0.171875
0.99,1.0101010101,0.4,64,0.02986571337878986,0.0009248980772787864,0.04963996808032227,0.0004411256905960605,100,0.25
0.99,1.0101010101,0.45,64,0.02981891627247529,0.0009174377984024344,0.0495383031962458,0.0004427992513148269,100,0.25
0.99,1.0101010101,0.5,64,0.02913435824446184,0.001014336817614588,0.04894173198481061,0.0004625476537849253,100,0.28125
1,1,0,4,0.03867330414515011,0,0.0398130156369773,0,100,0
1,1,0.05,4,0.03862817400998287,0,0.03976691267642049,0,100,0
1,1,0.1,4,0.03858346211785492,0,0.03972138439764161,0,100,0
1,1,0.15,4,0.03853904562394782,0,0.03967593369162266,0,100,0
1,1,0.2,4,0.03849488377596917,0,0.03963052593159472,0,100,0
1,1,0.25,4,0.03845074855082524,0,0.03958501774953585,0,100,0
1,1,0.3,4,0.03840619609493923,0,0.03953910985487157,0,100,0
1,1,0.35,4,0.03836043369029571,0,0.03949190936149796,0,100,0
1,1,0.4,4,0.03656999760823377,0.001741860254036635,0.04054035044441624,0.001099693051102885,100,0.25
1,1,0.45,4,0.03656348750244177,0.001693699557341192,0.04047548570469964,0.00109766902598419,100,0.25
1,1,0.5,4,0.03651421261901487,0.001675464731312901,0.04037874900374848,0.001095903078773969,100,0.25
1,1,0,8,0.03867330414515011,0,0.0398130156369773,2.622655377657235e-18,100,0
1,1,0.05,8,0.03862817400998287,0,0.03976691267642049,0,100,0
1,1,0.1,8,0.03858346211785491,2.622655377657235e-18,0.03972138439764161,0,100,0
1,1,0.15,8,0.03853904562394782,2.622655377657235e-18,0.03967593369162265,2.622655377657235e-18,100,0
1,1,0.2,8,0.03849488377596916,2.622655377657235e-18,0.03963052593159472,0,100,0
1,1,0.25,8,0.03845074855082525,2.622655377657235e-18,0.03958501774953585,0,100,0
1,1,0.3,8,0.03840619609493923,0,0.03953910985487157,2.622655377657235e-18,100,0
1,1,0.35,8,0.03836043369029571,0,0.03949190936149796,0,100,0
1,1,0.4,8,0.03744092773525209,0.0008709301270183173,0.03999050391886481,0.0005498465255514423,100,0.125
1,1,0.45,8,0.03741033728111238,0.0008468497786705961,0.03992665119170755,0.0005488345129920948,100,0.125
1,1,0.5,8,0.03735194498467131,0.0008377323656564503,0.03983079746436149,0.0005479515393869842,100,0.125
1,1,0,16,0.03867330414515012,3.583229404124381e-18,0.0398130156369773,0,100,0
1,1,0.05,16,0.03862817400998287,0,0.0397669126764205,3.583229404124381e-18,100,0
